Tree,Acc_Temp,Leaf_Temp,Nitrogen,CO2,Photo,Cond,Total_mg,N_mg,C_mg,N_Percent,C_Percent,CN,LMA,SLA
tree31,10,6,HN,400,3.358214687,0.04866125,1.894,0.033,0.743,1.73,48.18,27.63636364,7.598520163,0.131604573
tree31,10,10,HN,400,5.004203301,0.051002735,1.894,0.033,0.743,1.73,48.18,27.63636364,7.598520163,0.131604573
tree31,10,2,HN,400,2.203579442,0.055743954,1.894,0.033,0.912,1.73,48.18,27.63636364,7.598520163,0.131604573
tree31,10,18,HN,400,7.028706265,0.066356582,1.894,0.033,0.743,1.73,48.18,27.63636364,7.598520163,0.131604573
tree33,10,18,HN,2000,13.0569643,0.04531518,1.308,0.028,0.63,2.17,48.13,22.5,6.800193424,0.147054641
tree33,10,14,HN,2000,10.42726738,0.051669209,1.308,0.028,0.63,2.17,48.13,22.5,6.800193424,0.147054641
tree33,10,10,HN,2000,7.942797311,0.053390048,1.308,0.028,0.63,2.17,48.13,22.5,6.800193424,0.147054641
tree33,10,2,HN,2000,4.142725428,0.055204323,1.308,0.028,0.63,2.17,48.13,22.5,6.800193424,0.147054641
tree33,10,6,HN,2000,6.086244699,0.056102622,1.308,0.028,0.63,2.17,48.13,22.5,6.800193424,0.147054641
tree33,10,18,HN,400,5.359965937,0.039616892,1.308,0.028,0.743,2.17,48.13,22.5,6.800193424,0.147054641
tree33,10,14,HN,400,5.026546365,0.050207225,1.308,0.028,0.743,2.17,48.13,22.5,6.800193424,0.147054641
tree33,10,10,HN,400,3.903064757,0.053700497,1.308,0.028,0.743,2.17,48.13,22.5,6.800193424,0.147054641
tree33,10,6,HN,400,2.677577402,0.054979494,1.308,0.028,0.743,2.17,48.13,22.5,6.800193424,0.147054641
tree33,10,2,HN,400,1.825947943,0.057331775,1.308,0.028,0.63,2.17,48.13,22.5,6.800193424,0.147054641
tree34,10,14,LN,2000,12.23415644,0.062133424,1.862,0.032,0.885,1.7,47.51,27.65625,6.754015313,0.148060073
tree34,10,6,LN,2000,6.009124972,0.062819394,1.862,0.032,0.885,1.7,47.51,27.65625,6.754015313,0.148060073
tree34,10,10,LN,2000,8.681108073,0.062840504,1.862,0.032,0.885,1.7,47.51,27.65625,6.754015313,0.148060073
tree34,10,2,LN,2000,3.852083925,0.063164559,1.862,0.032,0.885,1.7,47.51,27.65625,6.754015313,0.148060073
tree34,10,18,LN,2000,15.61694037,0.075716538,1.862,0.032,0.885,1.7,47.51,27.65625,6.754015313,0.148060073
tree34,10,14,LN,400,6.309491552,0.061572395,1.862,0.032,0.743,1.7,47.51,27.65625,6.754015313,0.148060073
tree34,10,6,LN,400,3.428005126,0.061888945,1.862,0.032,0.743,1.7,47.51,27.65625,6.754015313,0.148060073
tree34,10,10,LN,400,4.987168814,0.061974847,1.862,0.032,0.743,1.7,47.51,27.65625,6.754015313,0.148060073
tree34,10,2,LN,400,2.070592477,0.063037192,1.862,0.032,0.885,1.7,47.51,27.65625,6.754015313,0.148060073
tree34,10,18,LN,400,8.622998264,0.114528882,1.862,0.032,0.743,1.7,47.51,27.65625,6.754015313,0.148060073
tree35,10,6,HN,2000,4.020144513,0.05431576,1.336,0.027,0.636,1.99,47.62,23.55555556,6.622241177,0.151006279
tree35,10,2,HN,2000,3.0631641,0.054418709,1.336,0.027,0.636,1.99,47.62,23.55555556,6.622241177,0.151006279
tree35,10,10,HN,2000,5.627585954,0.055059022,1.336,0.027,0.636,1.99,47.62,23.55555556,6.622241177,0.151006279
tree35,10,14,HN,2000,7.417638101,0.056321922,1.336,0.027,0.636,1.99,47.62,23.55555556,6.622241177,0.151006279
tree35,10,18,HN,2000,9.751823831,0.063724232,1.336,0.027,0.636,1.99,47.62,23.55555556,6.622241177,0.151006279
tree35,10,6,HN,400,1.558658194,0.054651108,1.336,0.027,0.743,1.99,47.62,23.55555556,6.622241177,0.151006279
tree35,10,2,HN,400,1.062438995,0.055272025,1.336,0.027,0.636,1.99,47.62,23.55555556,6.622241177,0.151006279
tree35,10,10,HN,400,2.834341176,0.055414797,1.336,0.027,0.743,1.99,47.62,23.55555556,6.622241177,0.151006279
tree35,10,14,HN,400,3.730709426,0.055941038,1.336,0.027,0.743,1.99,47.62,23.55555556,6.622241177,0.151006279
tree35,10,18,HN,400,4.823327923,0.088982249,1.336,0.027,0.743,1.99,47.62,23.55555556,6.622241177,0.151006279
tree36,10,14,LN,2000,8.178826215,0.085801528,1.597,0.035,0.762,2.19,47.7,21.77142857,6.139080301,0.162890849
tree36,10,10,LN,2000,6.212379089,0.086035252,1.597,0.035,0.762,2.19,47.7,21.77142857,6.139080301,0.162890849
tree36,10,2,LN,2000,3.114727483,0.087233673,1.597,0.035,0.762,2.19,47.7,21.77142857,6.139080301,0.162890849
tree36,10,6,LN,2000,4.613631044,0.087784413,1.597,0.035,0.762,2.19,47.7,21.77142857,6.139080301,0.162890849
tree36,10,18,LN,2000,10.12500808,0.088314659,1.597,0.035,0.762,2.19,47.7,21.77142857,6.139080301,0.162890849
tree36,10,14,LN,400,4.68254782,0.083938242,1.597,0.035,0.743,2.19,47.7,21.77142857,6.139080301,0.162890849
tree36,10,10,LN,400,3.819824516,0.085056288,1.597,0.035,0.743,2.19,47.7,21.77142857,6.139080301,0.162890849
tree36,10,6,LN,400,2.484700854,0.08649995,1.597,0.035,0.743,2.19,47.7,21.77142857,6.139080301,0.162890849
tree36,10,2,LN,400,1.628938223,0.089345519,1.597,0.035,0.762,2.19,47.7,21.77142857,6.139080301,0.162890849
tree36,10,18,LN,400,5.379551903,0.091204668,1.597,0.035,0.743,2.19,47.7,21.77142857,6.139080301,0.162890849
tree37,10,2,HN,2000,3.750856668,0.058257564,1.636,0.03,0.788,1.81,48.16,26.26666667,7.49779374,0.133372567
tree37,10,6,HN,2000,5.07155361,0.06121846,1.636,0.03,0.788,1.81,48.16,26.26666667,7.49779374,0.133372567
tree37,10,10,HN,2000,8.825081132,0.078219342,1.636,0.03,0.788,1.81,48.16,26.26666667,7.49779374,0.133372567
tree37,10,14,HN,2000,12.37190938,0.086488804,1.636,0.03,0.788,1.81,48.16,26.26666667,7.49779374,0.133372567
tree37,10,18,HN,2000,15.70108301,0.088571641,1.636,0.03,0.788,1.81,48.16,26.26666667,7.49779374,0.133372567
tree37,10,2,HN,400,1.559398094,0.059278972,1.636,0.03,0.788,1.81,48.16,26.26666667,7.49779374,0.133372567
tree37,10,6,HN,400,3.155507384,0.0642124,1.636,0.03,0.743,1.81,48.16,26.26666667,7.49779374,0.133372567
tree37,10,10,HN,400,5.008593544,0.081749545,1.636,0.03,0.743,1.81,48.16,26.26666667,7.49779374,0.133372567
