Tree,Acc_Temp,Leaf_Temp,Nitrogen,Vcmax,Vcmax_DW,Vcmax_N,Jmax,Jmax_DW,Jmax_N,Rd,Rd_DW,Rd_N
tree31,10,18,HN,31.2692306,0.411517365,23.61860269,80.98677769,1.065823005,61.17178098,2.440948089,0.032123992,1.843722471
tree32,10,18,LN,13.84494911,0.219584423,13.29705675,55.01316477,0.872522822,52.8361042,1.413712106,0.022421835,1.357766644
tree33,10,18,HN,25.93829471,0.381434659,17.81844765,64.1403151,0.943213095,44.061526,2.057425722,0.0302554,1.413359395
tree34,10,18,LN,27.77307786,0.411208385,23.92718791,76.52113583,1.132972473,65.92483576,1.669478725,0.024718314,1.438296878
tree35,10,18,HN,17.60027152,0.265775153,13.15094831,46.56503143,0.703161218,34.79345876,1.843248157,0.027834205,1.377277686
tree36,10,18,LN,17.48180665,0.284762634,12.99331221,47.84542289,0.77935816,35.56099949,1.235754237,0.020129306,0.918471468
tree37,10,18,HN,26.8532722,0.358148993,19.53105839,75.07236567,1.001259435,54.6020145,2.607568174,0.034777807,1.896549736
tree38,10,18,LN,29.03333164,0.402770787,27.98297992,78.42521213,1.087969676,75.58798842,2.349953964,0.032600213,2.264938636
tree39,10,18,HN,7.18175622,0.139829268,6.142256364,21.77590005,0.423978211,18.6240185,1.118828934,0.021783673,0.956887693
tree40,10,18,LN,27.07249454,0.334003355,26.33059782,73.4134684,0.905729049,71.40164005,2.87692907,0.035493736,2.798089483
tree41,10,18,HN,28.37327968,0.430322977,25.17389418,67.22715452,1.019599765,59.64658626,1.622498182,0.024607598,1.439544459
tree42,10,18,LN,24.06607581,0.296406911,23.11973903,62.15922797,0.76557661,59.71497559,1.707283026,0.021027545,1.640148495
